Designator,Mid X,Mid Y,Rotation,Layer
D1,100.03175,-88.0,0.0,top
D10,136.03175,-88.0,0.0,top
D11,136.03175,-71.0,0.0,top
D12,136.03175,-54.0,0.0,top
D13,136.03175,-37.0,0.0,top
D14,154.03175,-105.0,0.0,top
D15,154.03175,-88.0,0.0,top
D16,154.03175,-71.0,0.0,top
D17,154.03175,-54.0,0.0,top
D18,154.03175,-37.0,0.0,top
D19,108.97775,-105.0,0.0,top
D2,100.03175,-71.0,0.0,top
D3,100.03175,-54.0,0.0,top
D4,100.03175,-37.0,0.0,top
D5,118.03175,-88.0,0.0,top
D6,118.03175,-71.0,0.0,top
D7,118.03175,-54.0,0.0,top
D8,118.03175,-37.0,0.0,top
D9,136.03175,-105.0,0.0,top
JST1,81.0,-65.0,0.0,top
MCU1,76.0,-40.0,270.0,top
MH1,89.0,-27.0,0.0,top
MH2,165.5,-36.0,0.0,top
MH3,94.946,-100.0,0.0,top
MH4,165.5,-87.0,0.0,top
RST1,73.0,-62.0,90.0,top
S1,101.61205,-80.13225,0.0,top
S10,137.61205,-80.13225,0.0,top
S11,137.61205,-63.13225,0.0,top
S12,137.61205,-46.13225,0.0,top
S13,137.61205,-29.13225,0.0,top
S14,155.61205,-97.13225,0.0,top
S15,155.61205,-80.13225,0.0,top
S16,155.61205,-63.13225,0.0,top
S17,155.61205,-46.13225,0.0,top
S18,155.61205,-29.13225,0.0,top
S19,110.55805,-97.13225,0.0,top
S2,101.61205,-63.13225,0.0,top
S3,101.61205,-46.13225,0.0,top
S4,101.61205,-29.13225,0.0,top
S5,119.61205,-80.13225,0.0,top
S6,119.61205,-63.13225,0.0,top
S7,119.61205,-46.13225,0.0,top
S8,119.61205,-29.13225,0.0,top
S9,137.61205,-97.13225,0.0,top
T1,65.575,-61.0,90.0,top
